gender,age,civilStatus,childrens,district,health,closeFriends,work,workHoursWeek,familyMembers,familiarIncome,fatherStudy,motherStudy,university,typeExam,elementarySchool,profession,yearStudy,universitySelectionReazon,minToTravel,weekStudyTime,failCourses,AsistancePercentage,midterExam,finalExam,practiceGrade,FinalGrade,StudentPerformance
1,21,0,1,2,0,3,0,0,5,2,1,0,1,0,0,1,5,3,30.0,5.0,0,95,18,16,16.5,16.83333333,2
0,21,1,0,1,2,0,0,0,5,1,0,0,0,0,0,2,4,1,60.0,4.0,3,100,15,15,13.0,14.33333333,2
0,23,1,0,2,0,30,0,0,3,2,1,0,1,1,1,2,5,2,45.0,6.0,3,100,16,15,16.0,15.66666667,2
0,33,0,1,0,0,2,0,0,3,1,0,0,0,1,0,2,3,3,120.0,2.0,0,100,14,14,14.0,14.0,2
0,22,0,0,0,0,25,0,0,5,0,1,0,0,1,0,2,5,1,15.0,2.0,4,90,13,15,11.0,13.0,1
1,20,0,0,2,2,3,1,40,4,2,0,0,1,0,0,2,4,0,1.0,3.0,0,100,15,16,16.0,15.66666667,2
0,45,0,2,1,0,40,1,10,3,2,1,1,0,1,0,2,4,3,1.0,6.0,0,100,16,15,15.0,15.33333333,2
1,32,0,0,3,2,20,1,12,8,2,1,0,0,1,0,2,4,3,60.0,6.0,0,100,14,14,14.0,14.0,2
0,32,0,2,3,0,4,1,55,3,2,1,0,0,1,0,2,4,3,60.0,5.0,3,87,14,14,15.0,14.33333333,2
0,39,1,0,3,2,5,1,48,4,1,1,0,0,1,0,2,4,3,180.0,3.0,0,100,15,15,16.0,15.33333333,2
0,59,0,2,3,2,6,1,54,3,2,0,0,0,1,0,2,4,0,70.0,10.0,0,100,15,14,16.0,15.0,2
1,44,0,2,3,0,5,1,40,5,1,1,0,0,1,0,2,4,1,2.0,4.0,0,100,18,16,17.0,17.0,2
0,34,1,2,1,0,2,1,9,6,1,0,0,0,1,0,2,4,3,40.0,4.0,2,100,14,14,13.0,13.66666667,2
0,39,1,0,3,2,2,1,48,3,2,1,0,0,1,0,2,4,3,60.0,4.0,0,100,13,13,14.0,13.33333333,2
0,28,1,0,3,0,5,1,8,8,2,0,0,1,1,0,2,4,3,50.0,4.0,0,90,11,11,11.0,11.0,1
0,30,1,0,3,0,2,1,48,8,2,1,1,0,1,0,2,4,3,75.0,4.0,0,90,12,13,15.0,13.33333333,2
0,48,0,0,2,0,2,1,48,6,2,0,0,0,1,1,2,4,3,60.0,4.0,1,95,16,15,14.0,15.0,2
0,41,0,1,3,0,4,1,48,2,2,0,0,0,1,1,2,4,3,45.0,8.0,0,90,14,14,14.0,14.0,2
0,44,1,3,0,0,10,1,48,5,2,0,0,0,1,0,2,4,3,20.0,4.0,0,99,14,14,14.0,14.0,2
0,28,1,0,2,2,3,1,48,5,2,1,0,0,1,0,2,4,3,150.0,4.0,0,100,15,15,15.0,15.0,2
